post_id	tag
1	police
1	language
2	community
2	prison-voice
3	bail
3	failure
3	new-york
4	kim-kardashian
4	donald-trump
4	covid-19
5	covid-19
5	connecticut
5	early-release
6	early-release
6	war-on-drugs
6	possible-bot
6	first-step-act
7	early-release
7	war-on-drugs
7	mandator-mins
7	possible-bot
7	first-step-act
8	early-release
8	war-on-drugs
8	mandator-mins
8	possible-bot
8	first-step-act
9	covid-19
9	prison-death
9	first-step-act
9	early-release
10	canada
10	parole-violation
10	request
11	documentary
11	massachusetts
11	bad-forensics
12	reform-alliance
12	covid-19
12	prison
13	death-penalty
13	federal
13	news
14	covid-19
14	collateral-consequences
14	news
15	violent-crimes
15	academic
16	florida
16	collateral-consequences
16	voting-rights
16	news
17	tennessee
17	early-release
17	covid-19
18	federal
18	inside-health
18	covid-19
19	colorado
19	death-penalty
19	success
20	nevada
20	death-penalty
21	virginia
21	news
21	as-adult
21	fees-fines
21	drivers-licenses
21	success
22	meme
23	death-penalty
23	covid-19
23	florida-ish
23	nevada-ish
23	tennessee-ish
24	early-release
24	violent-crimes
24	recidivism
25	podcast
25	death-penalty
26	bail
26	as-adult
26	diversion
27	colorado
27	prison-gerrymander
27	success
28	inside-abuse
28	new-jersey
28	women
28	news
29	virginia
29	jerry-givens
29	death-penalty
29	virginia
29	news
30	juvenile
30	covid-19
30	courts
30	news
31	ngo
31	request
32	freddie-gray
32	maryland
32	news
33	washington
33	legal-pot
33	racial-bias
33	opinion
34	oregon-ish
34	juries
34	us-supreme
34	success
34	louisiana-ish
34	news
35	federal
35	news
35	early-release
35	covid-19
36	news
36	new-york
37	covid-19
37	federal
37	california-ish
37	early-release
37	opinion
37	violent-crimes
